2024-08-18 08:46:40 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2024-08-18 08:46:40 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2024-08-18 08:46:40 configure libssh2-1:amd64 1.9.0-2+deb11u1 <none>
2024-08-18 08:46:40 status unpacked libssh2-1:amd64 1.9.0-2+deb11u1
2024-08-18 08:46:40 status half-configured libssh2-1:amd64 1.9.0-2+deb11u1
2024-08-18 08:46:40 status installed libssh2-1:amd64 1.9.0-2+deb11u1
2024-08-18 08:46:40 configure publicsuffix:all 20220811.1734-0+deb11u1 <none>
2024-08-18 08:46:40 status unpacked publicsuffix:all 20220811.1734-0+deb11u1
2024-08-18 08:46:40 status half-configured publicsuffix:all 20220811.1734-0+deb11u1
2024-08-18 08:46:40 status installed publicsuffix:all 20220811.1734-0+deb11u1
2024-08-18 08:46:40 configure libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1 <none>
2024-08-18 08:46:40 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2024-08-18 08:46:40 status half-configured libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2024-08-18 08:46:40 status installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2024-08-18 08:46:40 configure libcurl4:amd64 7.74.0-1.3+deb11u12 <none>
2024-08-18 08:46:40 status unpacked libcurl4:amd64 7.74.0-1.3+deb11u12
2024-08-18 08:46:40 status half-configured libcurl4:amd64 7.74.0-1.3+deb11u12
2024-08-18 08:46:40 status installed libcurl4:amd64 7.74.0-1.3+deb11u12
2024-08-18 08:46:40 configure curl:amd64 7.74.0-1.3+deb11u12 <none>
2024-08-18 08:46:40 status unpacked curl:amd64 7.74.0-1.3+deb11u12
2024-08-18 08:46:40 status half-configured curl:amd64 7.74.0-1.3+deb11u12
2024-08-18 08:46:40 status installed curl:amd64 7.74.0-1.3+deb11u12
2024-08-18 08:46:40 trigproc libc-bin:amd64 2.31-13+deb11u10 <none>
